Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,modules.nmodules,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class
Benign,40,12,13.35,0,305.4,2082,52.05,12216,305.4,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,43,12,13.48837209,0,303.627907,2223,51.69767442,13056,303.627907,80,121,80,0.036429872,0.055100182,0.036429872,138,88,0,8,Benign
Benign,44,17,12.02272727,0,286.8636364,2162,49.13636364,12622,286.8636364,101,144,101,0.045352492,0.064660979,0.045352492,138,87,0,8,Benign
Benign,40,12,13.325,0,305.3,2082,52.05,12212,305.3,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,43,12,13.46511628,0,303.2790698,2223,51.69767442,13041,303.2790698,80,121,80,0.036429872,0.055100182,0.036429872,138,88,0,8,Benign
Benign,50,22,11.4,0,274.34,2447,48.94,13717,274.34,109,158,109,0.043253968,0.062698413,0.043253968,138,87,0,8,Benign
Benign,40,12,13.275,0,304.95,2082,52.05,12198,304.95,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,43,12,13.48837209,0,303.1162791,2223,51.69767442,13034,303.1162791,80,121,80,0.036429872,0.055100182,0.036429872,138,88,0,8,Benign
Benign,47,19,11.46808511,0,241.9148936,2079,44.23404255,11370,241.9148936,77,123,77,0.036150235,0.057746479,0.036150235,138,87,0,8,Benign
Benign,38,13,14.68421053,0,290.3947368,1875,49.34210526,11035,290.3947368,51,87,51,0.026898734,0.045886076,0.026898734,137,88,0,8,Benign
Benign,32,13,13.09375,0,264.375,1452,45.375,8460,264.375,32,63,32,0.022068966,0.043448276,0.022068966,138,88,0,8,Benign
Benign,50,22,11.2,0,274.08,2448,48.96,13704,274.08,109,158,109,0.043236811,0.062673542,0.043236811,138,87,0,8,Benign
Benign,40,12,13.225,0,304.975,2082,52.05,12199,304.975,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,43,12,13.48837209,0,302.255814,2223,51.69767442,12997,302.255814,80,121,80,0.036429872,0.055100182,0.036429872,138,88,0,8,Benign
Benign,50,22,11.08,0,273.42,2448,48.96,13671,273.42,109,158,109,0.043236811,0.062673542,0.043236811,138,87,0,8,Benign
Benign,40,12,13.325,0,305.475,2082,52.05,12219,305.475,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,43,12,13.44186047,0,301.0232558,2223,51.69767442,12944,301.0232558,80,121,80,0.036429872,0.055100182,0.036429872,138,88,0,8,Benign
Benign,50,22,11.04,0,272.32,2448,48.96,13616,272.32,109,158,109,0.043236811,0.062673542,0.043236811,138,87,0,8,Benign
Benign,40,12,13.375,0,305.275,2082,52.05,12211,305.275,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,43,12,13.27906977,0,300.3023256,2223,51.69767442,12913,300.3023256,80,121,80,0.036429872,0.055100182,0.036429872,138,88,0,8,Benign
Benign,52,25,10.46153846,0,253.1923077,2466,47.42307692,13166,253.1923077,105,155,105,0.042219542,0.062324085,0.042219542,138,87,0,8,Benign
Benign,40,12,13.35,0,304.75,2081,52.025,12190,304.75,76,113,76,0.036591237,0.054405392,0.036591237,138,88,0,8,Benign
Benign,43,12,13.11627907,0,299.6744186,2223,51.69767442,12886,299.6744186,80,121,80,0.036429872,0.055100182,0.036429872,138,88,0,8,Benign
Benign,50,24,10.48,0,254.9,2403,48.06,12745,254.9,104,153,104,0.042362525,0.062321792,0.042362525,138,87,0,8,Benign
Ransomware-Ako-00a2c6bab1e53f679cdd4fdc772cd291928c109b9b747652639a1700d844f719-1.raw,39,15,11.41025641,0,220.5897436,1562,40.05128205,8603,220.5897436,47,85,47,0.029228856,0.052860697,0.029228856,138,87,0,8,Malware
Ransomware-Ako-00a2c6bab1e53f679cdd4fdc772cd291928c109b9b747652639a1700d844f719-10.raw,37,15,10.13513514,0,214.6486486,1445,39.05405405,7942,214.6486486,42,78,42,0.028826356,0.05353466,0.028826356,138,87,0,8,Malware
Ransomware-Ako-00a2c6bab1e53f679cdd4fdc772cd291928c109b9b747652639a1700d844f719-2.raw,39,15,10.74358974,0,217.4102564,1551,39.76923077,8479,217.4102564,47,85,47,0.029430182,0.053224796,0.029430182,138,87,0,8,Malware
Ransomware-Ako-00a2c6bab1e53f679cdd4fdc772cd291928c109b9b747652639a1700d844f719-3.raw,41,16,10.12195122,0,210.1707317,1614,39.36585366,8617,210.1707317,46,86,46,0.027727547,0.051838457,0.027727547,138,87,0,8,Malware
Ransomware-Ako-00a2c6bab1e53f679cdd4fdc772cd291928c109b9b747652639a1700d844f719-4.raw,40,16,9.875,0,208.65,1556,38.9,8346,208.65,45,84,45,0.0281602,0.052565707,0.0281602,138,87,0,8,Malware
Ransomware-Ako-00a2c6bab1e53f679cdd4fdc772cd291928c109b9b747652639a1700d844f719-5.raw,40,16,9.825,0,208.375,1556,38.9,8335,208.375,46,85,46,0.028858218,0.053324969,0.028858218,138,87,0,8,Malware
Ransomware-Ako-00a2c6bab1e53f679cdd4fdc772cd291928c109b9b747652639a1700d844f719-6.raw,39,15,10,0,212.025641,1529,39.20512821,8269,212.025641,44,83,44,0.028205128,0.053205128,0.028205128,138,87,0,8,Malware
Ransomware-Ako-00a2c6bab1e53f679cdd4fdc772cd291928c109b9b747652639a1700d844f719-7.raw,38,15,9.789473684,0,209.4210526,1446,38.05263158,7959,215.1081081,42,78,42,0.028668942,0.053242321,0.028668942,138,87,0,8,Malware
Ransomware-Ako-00a2c6bab1e53f679cdd4fdc772cd291928c109b9b747652639a1700d844f719-8.raw,37,15,10.05405405,0,214.7567568,1445,39.05405405,7946,214.7567568,42,78,42,0.028767123,0.053424658,0.028767123,138,87,0,8,Malware
Ransomware-Ako-00a2c6bab1e53f679cdd4fdc772cd291928c109b9b747652639a1700d844f719-9.raw,37,15,10.18918919,0,214.7837838,1445,39.05405405,7947,214.7837838,42,78,42,0.028806584,0.053497942,0.028806584,138,87,0,8,Malware
Ransomware-Ako-0a065c408e05e2c2febfbca4c15db34821033e8724d15eed9898d68c3ffb8443-1.raw,44,16,10.68181818,0,209.3181818,1716,39,9211,214.2093023,54,96,54,0.030542986,0.054298643,0.030542986,138,86,0,8,Malware
Ransomware-Ako-0a065c408e05e2c2febfbca4c15db34821033e8724d15eed9898d68c3ffb8443-10.raw,40,16,9.975,0,214.15,1549,38.725,8567,219.6666667,44,82,44,0.028205128,0.052564103,0.028205128,138,86,0,8,Malware
Ransomware-Ako-0a065c408e05e2c2febfbca4c15db34821033e8724d15eed9898d68c3ffb8443-2.raw,44,16,10.15909091,0,210.8409091,1705,38.75,9278,215.7674419,54,96,54,0.030734206,0.054638589,0.030734206,138,86,0,8,Malware
Ransomware-Ako-0a065c408e05e2c2febfbca4c15db34821033e8724d15eed9898d68c3ffb8443-3.raw,45,17,9.822222222,0,205.4666667,1719,38.2,9248,215.0697674,48,90,48,0.027210884,0.051020408,0.027210884,138,86,0,8,Malware
Ransomware-Ako-0a065c408e05e2c2febfbca4c15db34821033e8724d15eed9898d68c3ffb8443-4.raw,43,17,9.790697674,0,208.5116279,1660,38.60465116,8967,213.5,47,88,47,0.027598356,0.051673517,0.027598356,138,86,0,8,Malware
Ransomware-Ako-0a065c408e05e2c2febfbca4c15db34821033e8724d15eed9898d68c3ffb8443-5.raw,43,17,9.674418605,0,208.255814,1660,38.60465116,8956,213.2380952,48,89,48,0.028251913,0.052383755,0.028251913,138,86,0,8,Malware
Ransomware-Ako-0a065c408e05e2c2febfbca4c15db34821033e8724d15eed9898d68c3ffb8443-6.raw,42,16,9.69047619,0,209.5,1624,38.66666667,8800,214.6341463,46,86,46,0.027777778,0.051932367,0.027777778,138,86,0,8,Malware
Ransomware-Ako-0a065c408e05e2c2febfbca4c15db34821033e8724d15eed9898d68c3ffb8443-7.raw,41,16,9.609756098,0,211.4878049,1584,38.63414634,8672,216.8,45,84,45,0.028037383,0.052336449,0.028037383,138,86,0,8,Malware
Ransomware-Ako-0a065c408e05e2c2febfbca4c15db34821033e8724d15eed9898d68c3ffb8443-8.raw,40,16,9.875,0,213.975,1549,38.725,8560,219.4871795,44,82,44,0.028132992,0.052429668,0.028132992,138,86,0,8,Malware
Ransomware-Ako-0a065c408e05e2c2febfbca4c15db34821033e8724d15eed9898d68c3ffb8443-9.raw,40,16,10,0,213.975,1549,38.725,8560,219.4871795,44,82,44,0.02818706,0.052530429,0.02818706,138,86,0,8,Malware
Ransomware-Ako-0a1582d80ff72daa6b2e48d6ccffd1fe5e37e494cbec6f3a7d7bf7a20df39018-1.raw,42,16,10.76190476,0,208.5,1615,38.45238095,8757,208.5,48,89,48,0.028880866,0.05354994,0.028880866,138,86,0,8,Malware
Ransomware-Ako-0a1582d80ff72daa6b2e48d6ccffd1fe5e37e494cbec6f3a7d7bf7a20df39018-10.raw,40,16,9.475,0,202.1,1497,37.425,8084,202.1,43,82,43,0.028514589,0.054376658,0.028514589,138,86,0,8,Malware
Ransomware-Ako-0a1582d80ff72daa6b2e48d6ccffd1fe5e37e494cbec6f3a7d7bf7a20df39018-2.raw,42,16,10.14285714,0,205.6666667,1604,38.19047619,8638,205.6666667,48,89,48,0.029073289,0.053906723,0.029073289,138,86,0,8,Malware
Ransomware-Ako-0a1582d80ff72daa6b2e48d6ccffd1fe5e37e494cbec6f3a7d7bf7a20df39018-3.raw,44,17,9.568181818,0,199.1363636,1667,37.88636364,8762,199.1363636,47,90,47,0.027437245,0.052539405,0.027437245,138,86,0,8,Malware
Ransomware-Ako-0a1582d80ff72daa6b2e48d6ccffd1fe5e37e494cbec6f3a7d7bf7a20df39018-4.raw,43,17,9.325581395,0,197.4883721,1609,37.41860465,8492,197.4883721,46,88,46,0.027845036,0.053268765,0.027845036,138,86,0,8,Malware
Ransomware-Ako-0a1582d80ff72daa6b2e48d6ccffd1fe5e37e494cbec6f3a7d7bf7a20df39018-5.raw,43,17,9.279069767,0,197.1627907,1609,37.41860465,8478,197.1627907,46,88,46,0.027929569,0.05343048,0.027929569,138,86,0,8,Malware
Ransomware-Ako-0a1582d80ff72daa6b2e48d6ccffd1fe5e37e494cbec6f3a7d7bf7a20df39018-6.raw,42,16,9.380952381,0,198.6190476,1574,37.47619048,8342,198.6190476,45,86,45,0.028037383,0.053582555,0.028037383,138,86,0,8,Malware
Ransomware-Ako-0a1582d80ff72daa6b2e48d6ccffd1fe5e37e494cbec6f3a7d7bf7a20df39018-7.raw,41,16,9.463414634,0,202,1544,37.65853659,8282,202,45,85,45,0.028753994,0.054313099,0.028753994,138,86,0,8,Malware
Ransomware-Ako-0a1582d80ff72daa6b2e48d6ccffd1fe5e37e494cbec6f3a7d7bf7a20df39018-8.raw,40,16,9.475,0,202.35,1497,37.425,8094,202.35,43,82,43,0.028439153,0.054232804,0.028439153,138,86,0,8,Malware
Ransomware-Ako-0a1582d80ff72daa6b2e48d6ccffd1fe5e37e494cbec6f3a7d7bf7a20df39018-9.raw,40,16,9.575,0,202.35,1497,37.425,8094,202.35,43,82,43,0.028495693,0.054340623,0.028495693,138,86,0,8,Malware
Ransomware-Ako-0a165d6f3193520f966367c1ad38ef5303f1890559c51162b9c8eb458fc3ee6a-1.raw,43,17,10.58139535,0,206.3488372,1644,38.23255814,8873,206.3488372,55,97,55,0.032391048,0.057126031,0.032391048,138,86,0,8,Malware
Ransomware-Ako-0a165d6f3193520f966367c1ad38ef5303f1890559c51162b9c8eb458fc3ee6a-10.raw,37,15,10.13513514,0,215.1891892,1446,39.08108108,7962,215.1891892,43,79,43,0.029512697,0.054221002,0.029512697,138,86,0,8,Malware
Ransomware-Ako-0a165d6f3193520f966367c1ad38ef5303f1890559c51162b9c8eb458fc3ee6a-2.raw,39,15,10.94871795,0,218.5384615,1553,39.82051282,8523,218.5384615,48,86,48,0.03,0.05375,0.03,138,86,0,8,Malware
Ransomware-Ako-0a165d6f3193520f966367c1ad38ef5303f1890559c51162b9c8eb458fc3ee6a-3.raw,41,16,10.29268293,0,211.097561,1616,39.41463415,8655,211.097561,47,87,47,0.028279182,0.05234657,0.028279182,138,86,0,8,Malware
Ransomware-Ako-0a165d6f3193520f966367c1ad38ef5303f1890559c51162b9c8eb458fc3ee6a-4.raw,40,16,10.075,0,209.525,1558,38.95,8381,209.525,46,85,46,0.028732042,0.053091818,0.028732042,138,86,0,8,Malware
Ransomware-Ako-0a165d6f3193520f966367c1ad38ef5303f1890559c51162b9c8eb458fc3ee6a-5.raw,40,16,9.8,0,208.6,1558,38.95,8344,208.6,46,85,46,0.028822055,0.053258145,0.028822055,138,86,0,8,Malware
Ransomware-Ako-0a165d6f3193520f966367c1ad38ef5303f1890559c51162b9c8eb458fc3ee6a-6.raw,39,15,9.871794872,0,210.2820513,1519,38.94871795,8201,210.2820513,45,83,45,0.029032258,0.053548387,0.029032258,138,86,0,8,Malware
Ransomware-Ako-0a165d6f3193520f966367c1ad38ef5303f1890559c51162b9c8eb458fc3ee6a-7.raw,38,15,10,0,214.4210526,1491,39.23684211,8148,214.4210526,45,82,45,0.029742234,0.05419696,0.029742234,138,86,0,8,Malware
Ransomware-Ako-0a165d6f3193520f966367c1ad38ef5303f1890559c51162b9c8eb458fc3ee6a-8.raw,37,15,10.05405405,0,215.0810811,1446,39.08108108,7958,215.0810811,43,79,43,0.029431896,0.054072553,0.029431896,138,86,0,8,Malware
Ransomware-Ako-0a165d6f3193520f966367c1ad38ef5303f1890559c51162b9c8eb458fc3ee6a-9.raw,37,15,10.16216216,0,215.2432432,1446,39.08108108,7964,215.2432432,43,79,43,0.029492455,0.054183813,0.029492455,138,86,0,8,Malware
Ransomware-Ako-0a1aa734776603730e9e84d72f975cc74fa11ae9b16c2c16f6fd685d89e6b8a3-1.raw,39,15,11.51282051,0,221.5384615,1566,40.15384615,8640,221.5384615,48,86,48,0.029758215,0.053316801,0.029758215,138,86,0,8,Malware
Ransomware-Ako-0a1aa734776603730e9e84d72f975cc74fa11ae9b16c2c16f6fd685d89e6b8a3-10.raw,37,15,10.16216216,0,215.6486486,1449,39.16216216,7979,215.6486486,43,79,43,0.029431896,0.054072553,0.029431896,138,86,0,8,Malware
Ransomware-Ako-0a1aa734776603730e9e84d72f975cc74fa11ae9b16c2c16f6fd685d89e6b8a3-2.raw,39,15,10.82051282,0,218.3846154,1555,39.87179487,8517,218.3846154,48,86,48,0.029962547,0.053682896,0.029962547,138,86,0,8,Malware
Ransomware-Ako-0a1aa734776603730e9e84d72f975cc74fa11ae9b16c2c16f6fd685d89e6b8a3-3.raw,41,16,10.24390244,0,211.4146341,1618,39.46341463,8668,211.4146341,47,87,47,0.028245192,0.052283654,0.028245192,138,86,0,8,Malware
Ransomware-Ako-0a1aa734776603730e9e84d72f975cc74fa11ae9b16c2c16f6fd685d89e6b8a3-4.raw,40,16,10.025,0,210,1560,39,8400,210,46,85,46,0.028696195,0.053025577,0.028696195,138,86,0,8,Malware
Ransomware-Ako-0a1aa734776603730e9e84d72f975cc74fa11ae9b16c2c16f6fd685d89e6b8a3-5.raw,40,16,9.85,0,209.375,1560,39,8375,209.375,46,85,46,0.028785982,0.053191489,0.028785982,138,86,0,8,Malware
Ransomware-Ako-0a1aa734776603730e9e84d72f975cc74fa11ae9b16c2c16f6fd685d89e6b8a3-6.raw,39,15,10,0,211.2564103,1525,39.1025641,8239,211.2564103,45,83,45,0.028920308,0.053341902,0.028920308,138,86,0,8,Malware
Ransomware-Ako-0a1aa734776603730e9e84d72f975cc74fa11ae9b16c2c16f6fd685d89e6b8a3-7.raw,38,15,10.07894737,0,215.2631579,1496,39.36842105,8180,215.2631579,45,82,45,0.029644269,0.054018445,0.029644269,138,86,0,8,Malware
Ransomware-Ako-0a1aa734776603730e9e84d72f975cc74fa11ae9b16c2c16f6fd685d89e6b8a3-8.raw,37,15,10.10810811,0,215.8918919,1449,39.16216216,7988,215.8918919,43,79,43,0.029351536,0.053924915,0.029351536,138,86,0,8,Malware
Spyware-180solutions-00a80e2e0f0f72ba202536615fa98cb11afafd519d9212b01e0678bc7f6e9ab4-1.raw,39,15,11.41025641,0,220.7692308,1563,40.07692308,8610,220.7692308,47,85,47,0.02921069,0.052827843,0.02921069,138,86,0,8,Malware
Spyware-180solutions-00a80e2e0f0f72ba202536615fa98cb11afafd519d9212b01e0678bc7f6e9ab4-10.raw,37,15,10.13513514,0,214.9189189,1446,39.08108108,7952,214.9189189,42,78,42,0.028846154,0.053571429,0.028846154,138,86,0,8,Malware
Spyware-180solutions-00a80e2e0f0f72ba202536615fa98cb11afafd519d9212b01e0678bc7f6e9ab4-2.raw,39,15,10.71794872,0,217.6410256,1552,39.79487179,8488,217.6410256,47,85,47,0.029411765,0.053191489,0.029411765,138,86,0,8,Malware
Spyware-180solutions-00a80e2e0f0f72ba202536615fa98cb11afafd519d9212b01e0678bc7f6e9ab4-3.raw,41,16,10.07317073,0,210.097561,1615,39.3902439,8614,210.097561,46,86,46,0.027710843,0.051807229,0.027710843,138,86,0,8,Malware
Spyware-180solutions-00a80e2e0f0f72ba202536615fa98cb11afafd519d9212b01e0678bc7f6e9ab4-4.raw,40,16,9.85,0,208.55,1557,38.925,8342,208.55,45,84,45,0.028125,0.0525,0.028125,138,86,0,8,Malware
Spyware-180solutions-00a80e2e0f0f72ba202536615fa98cb11afafd519d9212b01e0678bc7f6e9ab4-5.raw,40,16,9.8,0,208.325,1557,38.925,8333,208.325,45,84,45,0.028230866,0.052697616,0.028230866,138,86,0,8,Malware
Spyware-180solutions-00a80e2e0f0f72ba202536615fa98cb11afafd519d9212b01e0678bc7f6e9ab4-6.raw,39,15,10,0,210.4871795,1522,39.02564103,8209,210.4871795,44,82,44,0.02833226,0.05280103,0.02833226,138,86,0,8,Malware
Spyware-180solutions-00a80e2e0f0f72ba202536615fa98cb11afafd519d9212b01e0678bc7f6e9ab4-7.raw,38,15,10.07894737,0,214.4736842,1493,39.28947368,8150,214.4736842,44,81,44,0.029042904,0.053465347,0.029042904,138,86,0,8,Malware
Spyware-180solutions-00a80e2e0f0f72ba202536615fa98cb11afafd519d9212b01e0678bc7f6e9ab4-8.raw,38,15,10.07894737,0,214.2631579,1493,39.28947368,8142,214.2631579,44,81,44,0.029158383,0.053677932,0.029158383,138,86,0,8,Malware
Spyware-180solutions-00a80e2e0f0f72ba202536615fa98cb11afafd519d9212b01e0678bc7f6e9ab4-9.raw,37,15,10.24324324,0,215.2162162,1446,39.08108108,7963,215.2162162,42,78,42,0.028826356,0.05353466,0.028826356,138,86,0,8,Malware
Spyware-180solutions-00ad00662c91190acb948bfc3474061c95e085ee0f3053f08594d1ac6f475259-1.raw,44,17,10.34090909,0,201.1363636,1647,37.43181818,8850,201.1363636,52,95,52,0.030624264,0.055948174,0.030624264,138,87,0,8,Malware
Spyware-180solutions-00ad00662c91190acb948bfc3474061c95e085ee0f3053f08594d1ac6f475259-10.raw,42,17,9,0,194.0238095,1529,36.4047619,8149,194.0238095,47,88,47,0.030401035,0.056921087,0.030401035,138,87,0,8,Malware
Spyware-180solutions-00ad00662c91190acb948bfc3474061c95e085ee0f3053f08594d1ac6f475259-2.raw,46,18,9.5,0,193.7608696,1699,36.93478261,8913,193.7608696,51,96,51,0.02915952,0.054888508,0.02915952,138,87,0,8,Malware
Spyware-180solutions-00ad00662c91190acb948bfc3474061c95e085ee0f3053f08594d1ac6f475259-3.raw,46,18,8.913043478,0,190.8913043,1690,36.73913043,8781,190.8913043,50,95,50,0.0287687,0.054660529,0.0287687,138,87,0,8,Malware
Spyware-180solutions-00ad00662c91190acb948bfc3474061c95e085ee0f3053f08594d1ac6f475259-4.raw,45,18,8.911111111,0,190.2444444,1641,36.46666667,8561,190.2444444,50,94,50,0.029673591,0.05578635,0.029673591,138,87,0,8,Malware
Spyware-180solutions-00ad00662c91190acb948bfc3474061c95e085ee0f3053f08594d1ac6f475259-5.raw,44,17,9,0,191.6818182,1604,36.45454545,8434,191.6818182,49,92,49,0.029896278,0.056131788,0.029896278,138,87,0,8,Malware
Spyware-180solutions-00ad00662c91190acb948bfc3474061c95e085ee0f3053f08594d1ac6f475259-6.raw,43,17,9.093023256,0,193.3023256,1567,36.44186047,8312,193.3023256,49,91,49,0.03079824,0.057196732,0.03079824,138,87,0,8,Malware
Spyware-180solutions-00ad00662c91190acb948bfc3474061c95e085ee0f3053f08594d1ac6f475259-7.raw,43,17,9.186046512,0,194.9534884,1576,36.65116279,8383,194.9534884,49,91,49,0.03068253,0.056981841,0.03068253,138,87,0,8,Malware
Spyware-180solutions-00ad00662c91190acb948bfc3474061c95e085ee0f3053f08594d1ac6f475259-8.raw,43,17,9.162790698,0,194.6976744,1576,36.65116279,8372,194.6976744,49,91,49,0.030721003,0.057053292,0.030721003,138,87,0,8,Malware
Spyware-180solutions-00ad00662c91190acb948bfc3474061c95e085ee0f3053f08594d1ac6f475259-9.raw,42,17,9.071428571,0,194.5952381,1529,36.4047619,8173,194.5952381,47,88,47,0.030401035,0.056921087,0.030401035,138,87,0,8,Malware
Spyware-180solutions-00b3182e5da1141e8000292e974cac32ade84a40d556682df32b3448782961ca-1.raw,22,8,16.5,0,238.9090909,919,41.77272727,5256,238.9090909,19,40,19,0.020277481,0.042689434,0.020277481,137,88,0,8,Malware
Spyware-180solutions-00b3182e5da1141e8000292e974cac32ade84a40d556682df32b3448782961ca-10.raw,29,10,12.37931034,0,256.7586207,1316,45.37931034,7446,256.7586207,31,59,31,0.023031204,0.043833581,0.023031204,138,88,0,8,Malware
Spyware-180solutions-00b3182e5da1141e8000292e974cac32ade84a40d556682df32b3448782961ca-2.raw,22,8,16.36363636,0,241.9545455,924,42,5323,241.9545455,19,40,19,0.020169851,0.042462845,0.020169851,137,88,0,8,Malware
Spyware-180solutions-00b3182e5da1141e8000292e974cac32ade84a40d556682df32b3448782961ca-3.raw,22,8,16.45454545,0,242.9545455,926,42.09090909,5345,242.9545455,20,41,20,0.021164021,0.043386243,0.021164021,137,88,0,8,Malware
Spyware-180solutions-00b3182e5da1141e8000292e974cac32ade84a40d556682df32b3448782961ca-4.raw,22,8,15.09090909,0,235.3181818,926,42.09090909,5177,235.3181818,20,41,20,0.021164021,0.043386243,0.021164021,137,88,0,8,Malware
Spyware-180solutions-00b3182e5da1141e8000292e974cac32ade84a40d556682df32b3448782961ca-5.raw,22,8,13.31818182,0,227.3181818,926,42.09090909,5001,227.3181818,20,41,20,0.021164021,0.043386243,0.021164021,137,88,0,8,Malware
Spyware-180solutions-00b3182e5da1141e8000292e974cac32ade84a40d556682df32b3448782961ca-6.raw,22,8,13.59090909,0,232.2727273,929,42.22727273,5110,232.2727273,21,42,21,0.022128556,0.044257113,0.022128556,137,88,0,8,Malware
Spyware-180solutions-00b3182e5da1141e8000292e974cac32ade84a40d556682df32b3448782961ca-7.raw,24,8,14.125,0,252.9166667,1081,45.04166667,6070,252.9166667,23,46,23,0.020852221,0.041704442,0.020852221,138,88,0,8,Malware
Spyware-180solutions-00b3182e5da1141e8000292e974cac32ade84a40d556682df32b3448782961ca-8.raw,24,8,13.66666667,0,250.1666667,1081,45.04166667,6004,250.1666667,23,46,23,0.020852221,0.041704442,0.020852221,138,88,0,8,Malware
